Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat,freeText
"Atlanta, GA","Colorado Springs, CO",Blue,56,Female,1,2011,64,-0.8823529411764706,Personal Travel,0,0,5,Business,18,2/18/14,DL,Sigma Airlines Inc.,Colorado,Georgia,6,0,0,No,133,1184,6,-104.770643,38.872952,-84.331858,33.824102,"General disregard: I had a flight booked with Southeast . Southeast changed the second leg of the flight to the next day, creating a 26 hour layover. This change was poorly communicated, with only a single email consisting of an attached PDF file with two digits changed in the entire document. Air..."
"Atlanta, GA","Indianapolis, IN",Blue,62,Male,1,2003,18,-0.3333333333333333,Personal Travel,0,90,30,Business,6,1/6/14,DL,Sigma Airlines Inc.,Indiana,Georgia,14,NA,NA,Yes,NA,432,6,-86.145521,39.811262,-84.331858,33.824102,Just get me home: The flight was on time. What happened to Customer service? The stewards on the way home need to re-evaluate their chosen career - maybe they were having a bad day but not once did they ever crack a smile. The pilot never spoke a word the entire flight home. Just get me home...
"Atlanta, GA","Providence, RI",Silver,28,Male,1,2006,6,0.25,Business travel,1,0,40,Eco,4,3/4/14,DL,Sigma Airlines Inc.,Rhode Island,Georgia,12,8,4,No,136,903,9,-71.397401,41.776323,-84.331858,33.824102,fantastic team: The one thing all airlines seem to do is pack people in. Some of us had to volunteer to put our carry on luggage in with the other luggage. I did - I still had my purse and so I just put my camera in my purse. I was very glad when I didn't have to pay that surcharge...
"Atlanta, GA","Portland, OR",Blue,68,Female,1,2010,34,-0.6585365853658537,Personal Travel,0,125,135,Eco,30,3/30/14,DL,Sigma Airlines Inc.,Oregon,Georgia,13,8,3,No,240,2172,5,-122.651087,45.520404,-84.331858,33.824102,"terrible aircraft interior design for legs: These aircrafts have the worst design I have ever seen, and for no reason that I could see, in terms of leg room and space. 3+4+3. On the aisles, there is the bar to support the seats in front of you that is right where your feet or you luggage are supposed to be - i.e. unless your carry on..."
"Atlanta, GA","San Juan, PR",Blue,54,Female,2,2006,29,-0.5263157894736842,Personal Travel,0,30,50,Eco,10,1/10/14,WN,Cheapseats Airlines Inc.,Puerto Rico,Georgia,14,87,93,No,217,1547,4,-66.116246,18.288174,-84.331858,33.824102,"Lost Luggage for 4 days, and delay....after delay...after delay!!!: First and last time I will be travelling with Southeast Vacations. We were delayed for over 3 hours  to replace a computer system. You would think a reasonable option would be change planes....but not Southeast.At check-in, we were told our luggage would be transferred  by the Southeast Rep. We..."
"Atlanta, GA","New York, NY",Blue,38,Male,1,2012,9,-0.125,Business travel,3,0,150,Eco,22,3/22/14,FL,FlyHere Airways,New York,Georgia,8,0,0,No,120,762,9,-73.970221,40.718357,-84.331858,33.824102,"Flight: Flight was fine. I had a window seat. Two largish men sat next to me. they did not get up to go to wash room. So I waited.Every thing on flight was good until we landed. The 2 kids, traveling alone, sitting behind me started to cry up. they were maybe between 8 - 12. The guy next to..."
"Atlanta, GA","Wichita, KS",Silver,35,Female,1,2004,19,-0.11764705882352941,Business travel,1,105,70,Business,1,1/1/14,EV,FlyFast Airways Inc.,Kansas,Georgia,15,0,0,No,91,782,8,-97.327333,37.679735,-84.331858,33.824102,very cramped no food: there is no leg room on Southeast. We also had a long flight and no food not even pretzels was served. I would not recommend this.
"Atlanta, GA","San Francisco, CA",Blue,36,Female,2,2007,12,0.5,Business travel,2,15,75,Eco,21,1/21/14,DL,Sigma Airlines Inc.,California,Georgia,6,4,0,No,234,2139,2,-122.158498,37.671179,-84.331858,33.824102,"Business class dissapoints again: My wife, son and I have taken business class with Southeast   two trips in a row. We are ordinary people who saved to splurge for our summer vacations and to arrive  rested and ready to go. Last year we had a poor experience and naively gave Southeast another chance. Shame on us......"
"Atlanta, GA","Panama City, FL",Blue,49,Female,2,2003,13,-0.5294117647058824,Personal Travel,0,0,45,Eco,19,1/19/14,DL,Sigma Airlines Inc.,Florida,Georgia,7,253,243,No,45,240,4,-85.67728,30.194135,-84.331858,33.824102,"Worst Airline Company. Avoid at all costs. Pay extra if you have to.: Booked a flight with Southeast. The company cancelled the first flight, claiming there was construction  at  airport that prevented them from flying. They rebooked me on a different flight much later that day. They then kept delaying the flight several times, but ultimately we boarded the plane a few hours later...."
"Austin, TX","San Jose, CA",Platinum,34,Female,1,2004,18,0.21739130434782608,Business travel,1,0,95,Eco,12,3/12/14,WN,Cheapseats Airlines Inc.,California,Texas,19,0,0,No,172,1476,10,-121.945145,37.329845,-97.761533,30.358514,"Trip: The past number of years I've flown with Southeast. Since we flew out of a small regional airport we had to walk out on the the tarmac, Southeast had employees directing us safely to the plane. The flight was routine, not a whole lot of leg room, but we..."
"Baltimore, MD","Boston, MA",Blue,52,Male,1,2011,43,-0.6862745098039216,Personal Travel,0,15,35,Eco,5,2/5/14,WN,Cheapseats Airlines Inc.,Massachusetts,Maryland,7,NA,NA,Yes,NA,369,6,-71.140708,42.373132,-76.64776,39.234099,Nice staff: The business class lounge was nice but lacking the luxury touch that business traveler looking for. The plane was old and dirty.The service and the staff were the great things in my trip.
"Baltimore, MD","Boston, MA",Silver,27,Female,1,2006,12,0.3142857142857143,Business travel,2,0,105,Eco,11,1/11/14,B6,OnlyJets Airlines Inc.,Massachusetts,Maryland,15,136,144,No,75,369,8,-71.140708,42.373132,-76.64776,39.234099,"Flight Delays, Flight Delays: Flight delayed for close to two hours. Very little communication. Company apology was an after-thought. On-board service was bare bones."
"Baltimore, MD","Boston, MA",Blue,43,Male,1,2005,23,-0.84,Business travel,2,0,120,Eco,6,3/6/14,WN,Cheapseats Airlines Inc.,Massachusetts,Maryland,12,2,0,No,68,369,10,-71.140708,42.373132,-76.64776,39.234099,"Southeast flight: Both my trips on Southeast were excellent. The flights boarded on time and left on time. The connections in Toronto were exactly as posted. I found the staff to be extremely polite and friendly, very professional and attentive. The crisp blue uniforms were sharp and good looking."
"Bemidji, MN","Minneapolis, MN",Blue,40,Male,1,2007,19,0.22448979591836735,Business travel,1,20,90,Business,19,3/19/14,OO,Northwest Business Airlines Inc.,Minnesota,Minnesota,11,0,0,No,36,199,9,-93.2798,44.978156,-94.883524,47.480112,"trip: The flight was full high ways, but the space was adequate for that length of a trip. Flight attendants were all very courteous and pleasant. I recommend Southeast for this route for sure.Thanks."
"Birmingham, AL","Houston, TX",Gold,57,Male,1,2012,28,-0.5135135135135135,Mileage tickets,1,0,0,Eco,13,2/13/14,EV,FlyFast Airways Inc.,Texas,Alabama,15,6,3,No,77,562,6,-95.393531,29.784308,-86.791974,33.469107,"DEALING WITH vs FLYING WITH Southeast: My husband and I have flown with Southeast twice. The first time's return was great -on time, flawless. The second, I used my air miles for my husband and me. He was unable to go, but I didn't know to cancel the flight before the departure date. I lost my 15,000 miles."
"Boston, MA","Phoenix, AZ",Blue,24,Female,2,2010,47,-0.5932203389830508,Personal Travel,2,0,30,Eco,15,3/15/14,US,Southeast Airlines Co.,Arizona,Massachusetts,12,0,0,No,260,2300,3,-111.970041,33.494067,-71.140708,42.373132,NOT AGAIN If I can Help It!: I usually fly another airline that while charter is far superior to what I experienced on Southeast. I paid an extra fee and spoke with an Southeast rep as to which seats I wanted for the flights. Once on board I was in a middle seat in the middle row. ?!?!Literally ran on the connecting flight as...
"Boston, MA","Las Vegas, NV",Silver,45,Male,1,2005,10,0.13043478260869565,Business travel,1,0,30,Eco,5,2/5/14,B6,OnlyJets Airlines Inc.,Nevada,Massachusetts,12,4,0,No,260,2381,6,-115.167218,36.134893,-71.140708,42.373132,"A ruined vacation: On June 24, I was boarding with over 300 people in a row and 2 open counters; They wait for us over 90 minutes then tell us it was too late to embark ... We miss the flight, they force us to stay at overnight at our expense, to take the flight the next day..."
"Boston, MA","Los Angeles, CA",Blue,16,Male,1,2010,38,-0.9487179487179487,Personal Travel,2,0,30,Eco,12,2/12/14,B6,OnlyJets Airlines Inc.,California,Massachusetts,23,112,115,No,301,2611,4,-118.104332,33.982668,-71.140708,42.373132,"Choose another airline to fly: The price was great so we booked our tickets, never having flown with Southeast before. What a nightmare. Our flight couldn't land due to weather, so we got diverted  for a while, then they sat there and did plane maintenance which took a long time"
"Boston, MA","San Francisco, CA",Blue,38,Male,1,2008,19,-0.3103448275862069,Business travel,2,15,60,Eco,17,3/17/14,OU,Oursin Airlines Inc.,California,Massachusetts,11,51,23,No,282,2704,9,-122.158498,37.671179,-71.140708,42.373132,Bag drop appalling flight 100% spot on: Bag drop appalling total disorganised 90 mins just to drop bags.Economy seats big comfy plenty of leg room .polite helpful staff food was very edible .certtainly recommend to anyone.Couldnt fault it .
"Boston, MA","Seattle, WA",Blue,68,Female,1,2006,29,0.30120481927710846,Personal Travel,5,60,0,Eco,20,2/20/14,B6,OnlyJets Airlines Inc.,Washington,Massachusetts,23,65,72,No,288,2496,3,-122.274661,47.468409,-71.140708,42.373132,"Worst Airline I've Ever Flown With- Flown 3X, they Failed 3X: I can't believe this really happened...I arranged round-trip travel plans  with a connection. My flight departing  was OVER 1 HOUR LATE. This resulted in a late arrival. Unfortunately, as my first flight was such a lost cause,..."
"Boston, MA","New York, NY",Silver,46,Female,1,2011,25,-0.7857142857142857,Business travel,0,10,30,Eco Plus,7,1/7/14,US,Southeast Airlines Co.,New York,Massachusetts,18,0,0,No,41,184,9,-73.970221,40.718357,-71.140708,42.373132,This wqs what I expected. Nothing extraordinary to report.: my experience was what I consider to be typical. Flights were on time. Crew was courteous. Plane was clean.
"Boston, MA","Philadelphia, PA",Blue,36,Female,1,2006,0,1,Personal Travel,4,300,60,Eco,22,1/22/14,US,Southeast Airlines Co.,Pennsylvania,Massachusetts,9,NA,NA,Yes,NA,280,4,-75.298356,39.973277,-71.140708,42.373132,What an organized chaotic mess: Let me start by saying we normally fly west jet. My daughter used her  points with her 5 and 1 years old. She flew out this morning at 8:15 am. We decided to stay overnight near the airport to cut the stress and avoid waking the kids earlier...
"Boston, MA","Tampa, FL",Blue,65,Male,1,2003,11,-0.6923076923076923,Personal Travel,0,55,238,Eco,1,1/1/14,B6,OnlyJets Airlines Inc.,Florida,Massachusetts,16,105,83,No,135,1185,3,-82.513188,28.006247,-71.140708,42.373132,"Worst airline eperience in 40 years flying: My daughter flew Southeast for her first solo trip. flight so late she had to be rescheduled and run to second flight  where, when she arrived she barely made her connection. Baggage never found. 6 days, 12 phone calls, 8hours 47 minutes on hold, 3 broken..."
"Boston, MA","Detroit, MI",Blue,47,Female,1,2003,32,-0.6410256410256411,Personal Travel,1,120,0,Eco,10,3/10/14,DL,Sigma Airlines Inc.,Michigan,Massachusetts,10,0,0,No,77,632,6,-83.227554,42.490005,-71.140708,42.373132,Disappointing: Check-in was time consuming and very confusing: as far I could see the check-in machines were slower than a person doing the check-in and as nearly everyone needed assistance to work out what to do it certainly wasn't labour saving. The plane was not clean on take off in either direction. The staff not very efficient or friendly.
"Boston, MA","San Francisco, CA",Blue,17,Female,2,2004,30,-0.5789473684210527,Mileage tickets,2,30,20,Eco,9,3/9/14,OU,Oursin Airlines Inc.,California,Massachusetts,21,0,0,No,280,2704,6,-122.158498,37.671179,-71.140708,42.373132,Poor service a hallmark of Southeast: Thought of switching back to Southeast after many years. Service on their new B787 just as bad. Cabin crew attitude poor to say the least. Each flight leg had a long delay. I am switching back to my other airline!
"Boston, MA","Detroit, MI",Silver,59,Female,1,2011,6,0.14285714285714285,Mileage tickets,0,70,30,Eco,20,2/20/14,DL,Sigma Airlines Inc.,Michigan,Massachusetts,10,0,0,No,75,632,8,-83.227554,42.490005,-71.140708,42.373132,Friendly staff. Legroom was okay.: Food on the flight should be complementary even in economy class. If you choose to book through any airline to thank you for their business food should be free. I am tall and the leg room was just okay but uncomfortable at times. The aisle seats work best for tall individuals. The staff was friendly
"Boston, MA","New York, NY",Silver,77,Female,2,2003,20,-0.8181818181818182,Personal Travel,0,5,30,Eco,21,2/21/14,AA,Paul Smith Airlines Inc.,New York,Massachusetts,17,NA,NA,Yes,NA,187,8,-73.970221,40.718357,-71.140708,42.373132,"Hassled check in uncomfortable flight: Prefered Transat on incoming flight over Southeast, whose seats were cramped, service poor, food appalling as opposed to Transat whose staff were welcoming, friendly, seats were comfortable and the food acceptable."
"Boston, MA","Las Vegas, NV",Blue,68,Male,1,2008,37,-0.2982456140350877,Business travel,1,0,60,Eco,28,3/28/14,B6,OnlyJets Airlines Inc.,Nevada,Massachusetts,23,15,0,No,259,2381,9,-115.167218,36.134893,-71.140708,42.373132,Substantial business class: The business class was very good. The food was good as well. The flight attendants were very attentive and were very interactive the wifi and connectivity was terrible but everything else was spot on.
"Burlington, VT","New York, NY",Blue,28,Male,1,2007,45,-0.6666666666666666,Mileage tickets,1,0,0,Eco,3,1/3/14,EV,FlyFast Airways Inc.,New York,Vermont,11,NA,NA,Yes,NA,258,5,-73.970221,40.718357,-73.147918,44.474036,"The Worst Airline Experience EVER: After traveling the globe using countless large and small airline carriers over several years, I can genuinely say I have encountered none worse than the service provided by Southeast.Despite booking our tickets 9 months in advance, we were advised upon arrival our flight was over booked however we were extremely likely to secure a place due to the..."
"Charlotte, NC","Miami, FL",Blue,44,Male,2,2004,42,-0.8260869565217391,Personal Travel,0,65,30,Eco,12,1/12/14,US,Southeast Airlines Co.,Florida,North Carolina,8,1,0,No,96,650,4,-80.231428,26.175616,-80.815826,35.249654,"checking in from Miami- worst experience ever.: Literally the worst customer service I've ever experienced. They had 4 employees working, and insane waiting times. Those without luggage tags had to wait over an HOUR in order to be seen by someone. At some point, our line didn't move for 10-15 minutes because they were focusing on passengers in priority boarding, or those with printed luggage tags. Such..."
"Charlotte, NC","Seattle, WA",Silver,43,Male,1,2009,6,0.7272727272727273,Business travel,3,0,205,Eco,9,1/9/14,US,Southeast Airlines Co.,Washington,North Carolina,13,14,16,No,262,2279,9,-122.274661,47.468409,-80.815826,35.249654,"Southeast as good as ever: business class . Great service, great food and mostly great cabin crew. Have used Southeast for 4 years and highly recommend."
"Charlotte, NC","Los Angeles, CA",Blue,80,Female,1,2009,17,-0.4166666666666667,Personal Travel,0,0,95,Eco,22,1/22/14,US,Southeast Airlines Co.,California,North Carolina,9,NA,NA,Yes,NA,2125,8,-118.104332,33.982668,-80.815826,35.249654,Not the best choice if in a hurry: My flight was cancelled due to a sensor issue which they left us on the plane for 3 hours before escorting us off. At this point I would miss both of my layovers. They scheduled my flight...
"Charlotte, NC","Richmond, VA",Blue,18,Female,2,2010,15,-0.30434782608695654,Mileage tickets,1,0,120,Eco,13,2/13/14,US,Southeast Airlines Co.,Virginia,North Carolina,5,NA,NA,Yes,NA,257,8,-77.487983,37.477942,-80.815826,35.249654,Wish there was more competition: Full Plane. Overworked Staff. Screaming babies and children. When will some other airline implement a direct flight?
"Charlotte, NC","Phoenix, AZ",Blue,31,Male,2,2007,25,-0.42857142857142855,Business travel,0,0,30,Eco,27,1/27/14,US,Southeast Airlines Co.,Arizona,North Carolina,6,0,0,No,185,1773,8,-111.970041,33.494067,-80.815826,35.249654,"Better Equipment: Pretty standard flight with average service; nothing outstanding.New Airbus jet with screens at each seat, USB port and a 110 Volt A.C. outlet to allow charging of electronic devices during flight; very convenient!"
"Charlotte, NC","San Francisco, CA",Blue,65,Female,2,2004,38,-0.8536585365853658,Personal Travel,1,0,15,Eco,24,3/24/14,US,Southeast Airlines Co.,California,North Carolina,2,103,85,No,249,2296,4,-122.158498,37.671179,-80.815826,35.249654,"Southeast staff  - terrible customer service: We were flying on Southeast. The plane was 1 hr, 20 min late due to weather. 90% of the passengers had connections. Southeast staff  told us several times over the loud speaker ""We know many of you have connections. Don't worry, They..."
"Charlotte, NC","San Francisco, CA",Gold,39,Male,1,2010,14,-0.12,Business travel,1,0,100,Eco,1,3/1/14,US,Southeast Airlines Co.,California,North Carolina,22,30,23,No,258,2296,10,-122.158498,37.671179,-80.815826,35.249654,"Flight: Just want to give a shout out to the staff at Southeast on our recent flight. Every single person on flight Southeast890  was professional, helpful and friendly. Surprisingly  delicious banana bread and fresh coffee. All served with a smile...."
"Chicago, IL","Grand Rapids, MI",Gold,55,Female,2,2006,29,-0.48717948717948717,Mileage tickets,0,120,65,Eco,11,1/11/14,EV,FlyFast Airways Inc.,Michigan,Illinois,17,355,346,No,29,137,8,-85.6686,42.942857,-87.895427,41.827126,Poor Communication about Flight Delay: The evening flight was delayed by 3 hours. The airline staff was nowhere to be found. Received updates via the Internet. Very poor communication regardless of whom is to blame - the airport or the airline.This is not an isolated incident. Happened also on a differernt flight.
"Chicago, IL","Milwaukee, WI",Blue,16,Female,2,2009,31,-0.6756756756756757,Personal Travel,1,100,60,Eco,26,1/26/14,OO,Northwest Business Airlines Inc.,Wisconsin,Illinois,17,49,69,No,23,67,5,-88.100492,43.055654,-87.895427,41.827126,"Late, Cancel, Late again, Cancel again - UNRELIABLE AIRLINE: I have been flying on a weekly basis for the past 2 years. Southeast is the only airline that offers direct flights. I had a few issues the past few years but not enough to get me upset. I understand that with Air Travel, delays due to weather or mechanic malfunctions are expected...."
"Chicago, IL","St. Louis, MO",Blue,57,Male,2,2004,44,-0.7254901960784313,Personal Travel,0,0,10,Eco,2,3/2/14,AA,Paul Smith Airlines Inc.,Missouri,Illinois,7,NA,NA,Yes,NA,258,3,-90.340926,38.630705,-87.895427,41.827126,"No more Southeast !! Nothing but trouble, wrong information given every step of the way: 1.They changed our flight staing that we won't make the connection 2 weeks before our trip, and ""if you don't like the new flight, we can refund you money"", that's all they told me. But the same flight was still available on their booking site for way more money than we paid.2.Flight got cancelled, no words the whole time..."
"Chicago, IL","San Juan, PR",Blue,36,Female,1,2011,14,-0.07692307692307693,Personal Travel,4,60,0,Eco,7,3/7/14,OU,Oursin Airlines Inc.,Puerto Rico,Illinois,15,0,0,No,255,2072,3,-66.116246,18.288174,-87.895427,41.827126,Horrible on ground as well as in the sky: My second terrifying experience with Southeast. The ground check in Southeasttivities was extremely poorly managed. Worse than my first experience. Despite the bad ground arrangement to check in which took over 3 hours...
"Chicago, IL","Houston, TX",Blue,58,Female,1,2006,37,-0.574468085106383,Business travel,0,0,30,Eco,11,3/11/14,OU,Oursin Airlines Inc.,Texas,Illinois,18,8,4,No,120,925,3,-95.393531,29.784308,-87.895427,41.827126,Horrible Nightmare to check-in for 2 different flights in 2 different cites: 1st I want to say the crew was very nice and service on board was good. Now to check-in for the flight - took over an hour - kiosks weren't working correctly so most people were not getting to print out tickets or luggage tags.
"Chicago, IL","Rochester, NY",Blue,49,Female,1,2007,12,0.25,Personal Travel,1,253,78,Eco,21,1/21/14,EV,FlyFast Airways Inc.,New York,Illinois,10,20,8,No,82,528,3,-77.568207,43.137608,-87.895427,41.827126,"Horrible customer service: I started my vacation  by flying with Southeast.  Since my family and I had checked in online, the airline informed us to arrive 1 hour prior to our flight. Knowing that we would have to go through security, we arrived 2 hrs..."
"Chicago, IL","Duluth, MN",Blue,76,Male,1,2010,62,-0.7714285714285715,Personal Travel,0,0,20,Eco,4,2/4/14,OO,Northwest Business Airlines Inc.,Minnesota,Illinois,15,NA,NA,Yes,NA,397,3,-92.12902,46.765574,-87.895427,41.827126,Awful: They treated us like cattle and didn't care about anyone's needs for getting to a flight ontime they said my bag was to to heavy even though it wasn't and wanted to charge me 100.00
"Chicago, IL","Houston, TX",Blue,71,Female,2,2009,51,-0.7894736842105263,Personal Travel,0,0,62,Eco,4,1/4/14,WN,Cheapseats Airlines Inc.,Texas,Illinois,14,50,49,No,126,937,4,-95.393531,29.784308,-87.895427,41.827126,"Many years I have flown with Southeast to see it's service continually decline: When frequent flyer miles came out in the 1990's, Southeast was an airline that received many positive reviews. The staff were friendly and there was a certain pride with the airline.I've only seen this decrease since then. Particularly the staff are often uninterested, unhappy and some just plain rude. So much that I stopped flying the airline."
"Chicago, IL","Cleveland, OH",Silver,62,Female,1,2009,30,-0.6216216216216216,Business travel,0,0,3,Eco Plus,5,2/5/14,WN,Cheapseats Airlines Inc.,Ohio,Illinois,11,19,30,No,61,307,9,-81.605443,41.443638,-87.895427,41.827126,"Uneventful: Uneventful, just the way I like it. Not sure what you can say about an uneventful flight except that it was uneventful and I made it there and then back home."
