EntryNum,LogCPY,Alpha,LogJIF,NumSent,Texts
61,2.391728822,0.81,0.25163822,4,When something upsets me I get carried away with my feelings.; When I'm feeling down I tend to obsess and fixate on everything that's wrong.; When something painful happens I tend to blow the incident out of proportion.; When I fail at something important to me I become consumed by feelings of inadequacy.
62,1.099795701,0.87,0.699230503,19,"I feel insecure about my ability to interpret a computer printout; I look forward to using a computer on my job; I do not think I would be able to learn a computer programming language; The challenge of learning about computers is exciting; I am confident that I can learn computer skills; Anyone can learn to use a computer if they are patient and motivated; Learning to operate computers is like learning any new skill the more you practice, the better you become; I am afraid that if I begin to use computers I will become dependent upon them and lose some of my reasoning skills;I am sure that with time and practice I will be as comfortable working with computers as I am in working with a typewriter; I feel that I will be able to keep up with the advances happening in the computer field; I dislike working with machines that are smarter than I am;I feel apprehensive about using computers;I have difficulty in understanding the technical aspects of computers; It scares me to think that I could cause the computer to destroy a large amount of information by hitting the wrong key; I hesitate to use a computer for fear of making mistakes that I cannot correct; You have to be a genius to understand all the special keys contained on most computer terminals; If given the opportunity, I would like to learn about and use computers ;I have avoided computers because they are unfamiliar and somewhat intimidating to me; I feel computers are necessary tools in both educational and work settings"
63,0.319254816,0.76,0.382017043,26,"When I cry I always know why; Daydreaming is a waste of time; I wish I were not so shy; I am often confused about what emotion I am feeling; I often daydream about the future; I seem to make friends as easily as others do; Knowing the answers to problems is more important than knowing the reasons for the answers; It is difficult for me to find the right words for my feelings; I like to let people know where I stand on things; I have physical sensations that even doctors don't understand; It's not enough for me that something gets the job done I need to know why and how it works;I'm able to describe my feelings easily; I prefer to analyze problems rather than just describe them; When I am upset, I don't know if I am sad, frightened, or angry; I use my imagination a great deal; I spend much time daydreaming whenever I have nothing else to do; I am often puzzled by sensations in my body; I daydream rarely; I prefer to just let things happen rather than to understand why they turned out that way; I have feelings that I can't quite identify; Being in touch with emotions is essential; I find it hard to describe how I feel about people; People tell me to describe my feelings more; One should look for deeper explanations; I don't know what's going on inside me; I often don't know why I am angry."
64,0.176091259,0.7,0.181557774,5,While in the hospital I felt like I had no control over my life; Other patients on the ward frightened me; There was not enough privacy on the ward; The hospital was a frightening experience; The ward was noisy 
65,0.176091259,0.92,0.181557774,21,"Counseling was helpful therapy for me; I am satisfied with services I received;I feel better as a result of coming to the hospital; The nursing staff was willing to listen and talk to me in a helpful way; This hospital stay helped me learn how to cope with my problems; I am more hopeful about my future after my stay in the hospital; It was clearly explained to me why I had to come to the hospital; Activities (music, crafts, and exercrse) were a helpful part of my treatment; I felt like I could be myself in the hospital; The reasons for taking medications were explained to me; Talking with my psychologist was helpful to me; Talking with my doctor was helpful to me; My medication helped me get better; I knew what services were available to me; I would encourage others needing help to come to the hospital; The staff appeared competent and well trained; The professional staff spent enough time with me; The staff helped me with my physical needs when I needed it; I have a higher opinion of mental hospitals as a result of my stay here; The staff was consistent in explaining my treatment; I helped develop my treatment plan"
66,0.176091259,0.8,0.181557774,7,"Sometimes I felt put down by the staff; The professional staff (doctors, nurses, psychiatrists, and social workers) generally did not seem concerned about my improvement; Ward rules were overly restrictive; At times I was not treated with respect; I was physically mistreated by staff;Professional staff were always too busy to talk with me; Generally I didnt feel I could trust the staff "
67,0.841984805,0.94,0.561697533,10,I have found that feeling light-headed has often been irrelevant in deciding when to stop drinking alcohol; I have found that having one drink tended not to satisfy me but made me want more; I have had a complete blank of ten minutes or more in my memory when trying to recall what I was doing after drinking alcohol on the previous day or night; I have used alcohol as both a comfort and a strength;I have tended to gulp down the first (alcoholic) drink fairly fast;I had a good head for alcohol so that others appeared to get drunk more readily than I did; I have found it strange to leave half a glass of (alcoholic) drink; I have been irritable and impatient if there has been more than ten minutes of conversation at a meal or social function before my host offers me an alcoholic drink; I have deliberately had an alcoholic drink before going out to a place where alcohol may not be available; I have often drunk significantly more alcohol than I intended to.
68,0.841984805,0.88,0.561697533,10,"I have felt uncomfortable when shopping with other people because it has restricted my freedom;I have particularly enjoyed buying bargains so that I often finished up with morethan I need; I tend to use shopping as both a comfort and a strength even when I do not need anything; I have tended to go shopping just in case I might see something I want; When I have been shopping with family members, friends, or other people, I have tended to disguise the full extent of my purchases; I have often bought so many goods (groceries, sweets, household goods, books, etc.) that it would take a month to get through them; I have preferred to keep my shopping supplies topped up in case of war or natural disaster, rather than let my stocks run low; I have bought things not so much as a means of providing necessities but more as a reward that I deserve for the stresses that I endure; I have felt that I become a real person only when I am shopping or spending; I have often gone shopping to calm my nerves."
69,0.841984805,0.98,0.561697533,10,I have particularly enjoyed getting a really strong effect from recreational drugs; I have had a sense of increased tension and excitement when I knew that I had the opportunity to get some drugs; Other people have expressed repeated serious concern about some aspects of my drug use; I have found that getting high tends to result in my going on to take more drugs; I have tended to use drugs as both a comfort and strength; I have often found that I use all of the drugs in my possession even though I had intended to spread them out over several occasions; I have tended to make sure that I have the drugs or the money for drugs before concentrating on other things; I have been irritable or impatient if my supply of drugs is delayed for 10 minutes or so for no good reason; I have tended to use more drugs if I have got more; I have deliberately used drugs before going out for a time if I have felt there might not be the opportunity to use them later.
70,0.841984805,0.95,0.561697533,10,"I have felt an increased tension or awareness when it has come to the time when I normally take my prescribed medication; Other  people  have  expressed  repeated  serious  concern  about  my  use  of prescription medicines; I have taken more than the prescribed dose of my prescription medication as and when I feel it necessary; If my prescription medicines supply was being strictly controlled I would hang onto some old tablets even if they were definitely beyond their expiry date; Other people (e.g., doctors) have commented that they would be knocked out by a fraction of the prescription medication that I have regularly taken; I have found that my previous doses of prescription medicines are no longer successful in controlling my symptoms; I have continued to take prescription medication because I find that it helps me, even though the original stresses for which the medication was prescribed, have been resolved; If I had run out of my prescribed medication I would take an alternative even if I was not sure of its effects; I have been irritable and impatient if my prescribed medication is delayed for 10 minutes; I have often found myself taking more prescribed medication than I intended to."
71,0.841984805,0.94,0.561697533,10,"I have preferred to use nicotine throughout the day rather than only at specific times; I have tended to use nicotine as both a comfort and strength even when I feel that I didnot want any; I have been afraid that I will put on excessive amounts of weight or become particularly irritable or depressed if I give up using nicotine altogether; I have often found that having my first use of nicotine in any day tends not to satisfy me, but made me want more; I have continued to use nicotine even when I have had a bad cold or even more serious respiratory problem; I have found that my nicotine consumption goes up or down when I am off alcohol or drugs or when I am on a diet; I have deliberately used nicotine before going out to a place where I may not be able to use it; When I ran out of my favourite form of nicotine, I have accepted the offer of an alternative that I do not particularly like; I have often used nicotine to calm my nerves; I have often used nicotine significantly more than I intended to."
72,0.841984805,0.88,0.561697533,10,"I have had an intimate relationship with caffeine so that in a strange way I have felt that I became a real person only when I used it; I have preferred to take caffeine on my own rather than in company; I have felt it would be more painful for me to give up caffeine than to give up a close friendship; I have regularly stolen or helped myself to other people's caffeine even though I had enough money to buy my own; I have tended to time my intake of caffeine so that others are not really aware of my total intake; I have had a sense of increased tension and excitement when I buy caffeine substances or when I see advertisements for them; I have found that my intake of another form of caffeine tends to increase when I am off my own favourite; When I have used too much caffeine I have tended to feel defiant as well as disappointed in myself; I have sometimes rushed through a meal, or skipped it altogether, so that I can have some caffeine; I have often been capable of drinking 20 cups of tea or coffee or cola or lemonade or eating 20 chocolates in a day."
73,0.841984805,0.92,0.561697533,10,I have found that the amount that I have won or lost has often been irrelevant indeciding when to stop gambling or risk taking; I have stolen or embezzled to cover gambling losses or to cover my losses in risky ventures; I have found it more painful for me to give up gambling and risk taking than to give up a close friendship; Other people have expressed repeated serious concern over my gambling or risk taking; I have tended to accept opportunities for further gambling or risk taking despite having just completed a session or a project; I have preferred to gamble or to take risks in one way or another throughout the day rather than at particular times; I have tended to use gambling or risk-taking as a form of comfort and strength even when I have not felt that I particularly want to gamble or take further risks; I have gambled or taken risks at the first opportunity in case I did not get the chance later on; When my favourite form of gambling or risk taking is unavailable I have gambled on something else I normally disliked; I have been irritable and impatient if there is a complete break of 10 minutes in agambling session.
74,0.841984805,0.91,0.561697533,10,I have found it difficult to pass over opportunities for casual or illicit sex; Other people have expressed repeated serious concern over my sexual behaviour; I have prided myself on the speed with which I can get to have sex with someone and I have found that sex with a complete stranger is stimulating; I have taken opportunities to have sex despite having just had it with somebody else; I have found that making a sexual conquest has caused me to lose interest in that partner and led me to begin looking for another; I have tended to ensure that I have sex of one kind or another rather than wait for my regular partner to be available again after an illness or absence; I have had repeated affairs even though I had a regular relationship; I have had three or more regular sexual partners at the same time; I have had voluntary sex with someone that I dislike; I have tended to change partners if sex becomes repetitive.
75,0.841984805,0.88,0.561697533,10,"I have tended to look for, or take on, positions of power or influence so that I rise to aposition of emotional or practical power over others as rapidly as possible; I have found it difficult not to take up a position of power or influence when it is available, even when I do not really need it and can see no particular use for it; I have preferred to have power and influence in all my relationships rather than allow myself to be vulnerable; I have been afraid that my life will fall apart and that others will take advantage of me if I give up the power and influence that I have held or now hold; I have regularly undermined other people's positions of power or influence even though they may have significantly less than my own; I have found that having all the power and influence that I need for my own personal and professional life is irrelevant when deciding when to stop seeking more; I have tended to use a position of power or influence as a comfort and strength regardless of whether there are particular problems needing my attention in other aspects of my life; I have looked for all opportunities for power and influence as and when they arise; In a new relationship I have felt uncomfortable until I hold the most powerful position; I have tended to neglect other aspects of my life when I have felt that my position of power or influence is under threat."
76,0.841984805,0.82,0.561697533,10,I have tended to be upset when someone close to me takes care of someone else; I have felt that I become a real person only when I am being totally looked after by someone else; I have found that other people have tended to express progressively more concern about my dependent relationships; I have tended to find someone else to be close to when my primary partner is away even for a short time; I have tended to find new close relationships within days or weeks of the failure of the old one; I have tended to venture into company only if I have someone to look after me; I have felt an overwhelming sense of excitement when I find a new person to look after my needs or a new way in which an existing partner can look after them better; I have tended to think that a close friendship is when someone else really look safter me; I have tended to get irritable and impatient when people look after themselves rather than me; I have felt most in control of my feelings when other people are performing services of one kind or another for me.
77,0.841984805,0.84,0.561697533,10,"I have been afraid that I would be thought of as (and perhaps become) a callous person if I do not show my capacity for self-denial and caretaking on a daily basis; The things I have done for others have often resulted in there being not much left ofmy personal life; I have preferred to look after other people on my own rather than as part of a team; I have found life rather empty when someone for whom I was caring gets better and I have felt resentful at times when I am no longer needed; I have tended to use my self-denial and caretaking for others as both a comfort and strength for myself; I have found that I tend to adopt a self-denying and caretaking role in many of my relationships; I have regularly given unsolicited advice to other people on how to solve their problems; I have found it difficult to leave any loose ends in a conversation in which I am trying to be helpful; I have often stayed up half the night having helpful conversations; I have felt that I have become a real person only when I am tidying up the physical, emotional, and social messes made by someone else."
78,0.841984805,0.82,0.561697533,10,I have tended to pride myself on never being a burden to others; Other people have tended to express concern that I am not doing enough for my own pleasure; I have tried to avoid all risks of upsetting other people; I tended to give (an act of service to others) and not count the costs even though the costs mount progressively; I have tended to remain loyal and faithful regardless of what I may endure in a close relationship; I have liked to make myself useful to other people even when they do not appreciate what I do; I have tended to take on more work for someone close to me even if I have not finished the previous batch; I have felt like a real person only when performing acts of service for someone else; I have often helped someone close to me more than I intended; I have felt most in control of my feelings when performing services of one kind or another for someone else.
79,0.841984805,0.84,0.561697533,10,"I have taken on a piece of work that I actively disliked not so much out of necessity but more simply to keep myself occupied; I have tended to work faster and for longer hours than any other people of my ownability so that they have found it difficult to keep up with me; When I have definitely overworked and got myself irritable and overtired I have tended to feel defiant as well as slightly ashamed; I have tended to tidy up the mess that someone else has got into at work, even when I have not been asked to do so; I have found that finishing a specific project is often irrelevant in deciding when to stop working; When working with others I have tended to disguise the full amount of time and effort that I put into my work; I have tended to keep reserve projects up my sleeve just in case I find some time, even a few minutes to spare; I have regularly covered other people's work and responsibilities even when there was no need for me to do so; Other people have expressed repeated serious concern over the amount of time I spend working; I have found that once I start work in any day I find it difficult to get out of the swing of it and relax."
80,0.841984805,0.87,0.561697533,10,I have often been so tired with exercise that I have found it difficult to walk or to climb up stairs; I have preferred to exercise alone rather than in company; I have often tried to take exercise several times a day; I have particularly enjoyed getting wringing wet with sweat when I exercise; I have often felt a sense of tension and excitement when about to take exercise; I have responded positively to an unexpected invitation to exercise despite having just finished my regular exercise; I have felt that I become a real person only when I am exercising; I have tended to use exercise as both a comfort and strength even when I have been perfectly fit and do not need any more; I have often taken exercise just to tire myself sufficiently for sleep; When I have gone out I have often taken sports clothes and equipment with me just in case the opportunity to exercise arises.
