Idnumber,Brand,Species,Rating,EffectList,FlavorList
38,Afghan-Hawaiian,I,4.1,"Tingly,Sleepy,Relaxed,Energetic,Aroused","Nutty,Earthy,Chestnut"
39,Afghan-Haze,H,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Earthy,Flowery,Tea"
40,Afghan-Kush,I,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Flowery,Woody"
41,Afghan-Skunk,I,4.3,"Sleepy,Relaxed,Happy,Hungry,Giggly","Skunk,Woody,Sweet"
42,Afghan-Sour-Kush,I,4.5,"Hungry,Relaxed,Aroused,Sleepy,Euphoric","Earthy,Diesel,Pungent"
43,Afghan-Widow,H,4.5,"Creative,Energetic,Euphoric,Focused,Uplifted","Flowery,Diesel,Sweet"
44,Afghani,I,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Pine"
45,Afgahni-Bullrider,I,4.4,"Focused,Uplifted,Happy,Creative,Relaxed","Lemon,Citrus,Sweet"
46,Afghani-Cbd,I,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative","Flowery,Chemical,Spicy/Herbal"
47,Afghanica,H,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Sweet,Flowery,Skunk"
48,Afghanimal,I,5,"Hungry,Relaxed,Aroused,Sleepy,Focused","Citrus,Skunk"
49,Afghooey,I,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative","Earthy,Sweet,Woody"
50,Afgoo,I,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Woody"
51,Afgooey,I,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted","Woody,Pine,Pungent"
52,Afkansastan,I,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Tobacco,Earthy"
53,Afpak,H,4.2,"Relaxed,Creative,Focused,Sleepy,Happy","Pine,Spicy/Herbal,Earthy"
54,African,S,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative","Spicy/Herbal,Pungent,Pepper"
56,Afternoon-Delight,H,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical"
57,Afwreck,H,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Earthy,Pine,Pungent"
58,Agent-Orange,H,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy"
59,Agent-Tangie,H,4.5,"Uplifted,Happy,Creative,Euphoric,Focused","Skunk,Citrus,Orange"
60,Air-Jordan-Og,I,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel,Pine,Spicy/Herbal"
62,Alaska,S,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Earthy,Woody,Pine"
63,Alaska-Thunder-Grape,H,5,"Tingly,Uplifted,Creative,Euphoric,Focused","Pepper,Strawberry,Grape"
64,Alaskan-Ice,S,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet,Earthy,Spicy/Herbal"
65,Alaskan-Thunder-Fuck,S,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Earthy,Woody,Pine"
66,Albert-Walker,H,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Mango,Blueberry"
67,Alchemy,H,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese,Sweet,Spicy/Herbal"
68,Alf,H,5,"Relaxed,Creative,Euphoric,Giggly,Happy","Diesel,Tropical,Pungent"
69,Alice-In-Wonderland,S,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Mint,Sweet"
70,Alien-Abduction,H,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Earthy,Nutty,Sweet"
71,Alien-Apparition,H,4,"Hungry,Energetic,Euphoric,Aroused,Tingly","Sweet,Pungent,Skunk"
72,Alien-Asshat,H,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy"
73,Alien-Bubba,I,5,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Woody,Sweet"
74,Alien-Dawg,I,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Woody"
75,Alien-Dutchess,S,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Sweet,Berry,Blueberry"
76,Alien-Hallucination,H,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Sweet,Earthy,Diesel"
77,Alien-Inferno,H,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic","Pine,Diesel,Earthy"
78,Alien-Kush,I,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Earthy,Woody,Flowery"
79,Alien-Og,H,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Lemon,Citrus"
80,Alien-Reunion,H,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative","Pungent,Skunk,Cheese"
81,Alien-Rift,I,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Grape,Earthy,Chemical"
82,Alien-Rock-Candy,H,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Sweet,Citrus,Earthy"
83,Alien-Sour-Apple,H,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy","Sweet,Lemon,Apple"
84,Alien-Stardawg,S,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly","Diesel,Spicy/Herbal,Sage"
85,Alien-Technology,I,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy,Spicy/Herbal,Woody"
86,Aliens-On-Moonshine,I,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly","Citrus,Sage,Grapefruit"
88,Allen-Wrench,S,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Citrus,Earthy,Pungent"
89,Allkush,I,5,"Relaxed,Sleepy,Uplifted,Happy","Spicy/Herbal,Honey,Earthy"
90,Aloha,S,4.2,"Energetic,Uplifted,Happy,Creative,Focused","Tropical,Sweet,Citrus"
91,Aloha-Grape-Stomper,H,5,"Tingly,Uplifted,Euphoric,Giggly,Happy","Blueberry,Grape,Tropical"
92,Aloha-Limone,H,4.8,"Euphoric,Creative,Energetic,Talkative,Uplifted","Sweet,Citrus,Earthy"
93,Alohaberry,H,4.2,"Energetic,Uplifted,Aroused,Tingly,Relaxed","Berry,Apple,Chestnut"
94,Alpha-Blue,S,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Earthy,Blueberry,Sweet"
96,Alpha-Express,S,4.7,"Energetic,Focused,Talkative,Happy,Relaxed","Diesel,Earthy,Spicy/Herbal"
97,Alpha-Og,H,4.6,"Relaxed,Focused,Happy,Euphoric,Sleepy","Spicy/Herbal,Sweet,Berry"
98,Alpine-Blue,H,5,"Uplifted,Creative,Energetic,Aroused,Euphoric","Berry,Blueberry,Pine"
99,Alpine-Star,I,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Pine,Citrus,Earthy"
100,Ambrosia,H,4.4,"Uplifted,Euphoric,Relaxed,Creative,Focused","Flowery,Lavender,Earthy"
101,American-Dream,H,4.7,"Focused,Euphoric,Tingly,Energetic,Relaxed","Earthy,Sweet,Pungent"
102,American-Kush,I,4.8,"Relaxed,Tingly,Sleepy,Uplifted,Happy","Sweet,Lemon,Lime"
103,Americano,I,4.6,"Relaxed,Creative,Focused,Euphoric,Aroused","Earthy,Spicy/Herbal,Tobacco"
104,Amethyst,H,3.9,"Energetic,Creative,Giggly,Hungry,Happy",
105,Amethyst-Bud,H,4.2,"Uplifted,Happy,Relaxed,Focused,Energetic","Berry,Lavender,Sweet"
106,Amnesia,S,4.3,"Happy,Euphoric,Energetic,Creative,Uplifted","Earthy,Sweet,Skunk"
108,Amnesia-Haze,S,4.3,"Happy,Euphoric,Uplifted,Energetic,Creative","Earthy,Citrus,Lemon"
109,Ancient-Kush,I,4.6,"Sleepy,Relaxed,Aroused,Creative,Energetic","Skunk,Cheese,Mint"
110,Ancient-Og,I,4.6,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Flowery,Nutty"
111,Anesthesia,I,4.1,"Hungry,Sleepy,Relaxed,Happy,Euphoric","Earthy,Pungent,Sweet"
112,Angel-Og,I,5,"Happy,Relaxed,Uplifted,Sleepy,Euphoric","Pungent,Earthy,Berry"
113,Animal-Cookies,H,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Sweet,Pungent"
114,Anonymous-Og,I,5,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Flowery,Coffee"
115,Anubis,I,5,"Relaxed,Sleepy,Creative,Focused,Aroused","Grape,Lime,Earthy"
116,Ape-Shit,H,5,"Happy,Relaxed,Uplifted,Giggly,Talkative","Sweet,Grape,Lavender"
117,Apollo-11,H,4.4,"Uplifted,Happy,Euphoric,Relaxed,Creative","Pungent,Citrus,Lemon"
118,Apollo-13,H,4.4,"Happy,Euphoric,Energetic,Uplifted,Creative","Earthy,Spicy/Herbal,Sweet"
119,Appalachia,H,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly","Pungent,Skunk,Earthy"
120,Appalachian-Power,S,4.3,"Euphoric,Creative,Focused,Talkative,Uplifted","Tropical,Grape,Sweet"
121,Apple-Jack,H,3.6,"Happy,Relaxed,Focused,Energetic,Tingly","Apple,Sweet,Earthy"
122,Apple-Kush,H,4.6,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Apple,Diesel,Pungent"
123,Appleberry,I,4.6,"Relaxed,Happy,Sleepy,Hungry,Euphoric","Berry,Apple,Sweet"
124,Arabian-Gold,S,4.1,"Euphoric,Tingly,Giggly,Sleepy,Creative",
125,Arctic-Sun,H,4.3,"Creative,Relaxed,Energetic,Euphoric,Focused","Ammonia,Skunk"
126,Arcticblue,H,4.8,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Blueberry,Sweet,Earthy"
127,Area-51,H,4.4,"Happy,Uplifted,Relaxed,Euphoric,Creative","Earthy,Citrus,Sweet"
128,Argyle,I,3.9,"Happy,Uplifted,Relaxed,Sleepy,Focused","Spicy/Herbal,Pungent,Earthy"
129,Arjans-Strawberry-Haze,S,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Strawberry,Sweet,Berry"
130,Arjans-Ultra-Haze-1,S,4.8,"Euphoric,Focused,Energetic,Relaxed,Creative","Minty,Earthy,Mint"
131,Armageddon,H,4,"Uplifted,Giggly,Happy,Relaxed,Talkative","Diesel,Woody,Tropical"
132,Armagnac,H,4.2,"Relaxed,Sleepy,Talkative,Giggly,Happy","Spicy/Herbal,Sweet,Flowery"
133,Ash,H,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Pungent,Skunk,Spicy/Herbal"
134,Asian-Fantasy,S,4.4,"Euphoric,Hungry,Happy,Relaxed,Talkative","Earthy,Skunk,Woody"
135,Aspen-Og,H,4.1,"Focused,Happy,Energetic,Relaxed,Talkative","Blueberry,Spicy/Herbal,Earthy"
136,Astroboy,S,4.5,"Relaxed,Energetic,Happy,Creative,Focused","Sweet,Citrus,Grapefruit"
137,Athabasca,I,4.6,"Talkative,Uplifted,Happy,Relaxed,Giggly","Earthy,Ammonia,Diesel"
138,Atmosphere,H,4.8,"Uplifted,Euphoric,Relaxed,Happy,Tingly","Flowery,Sweet,Citrus"
139,Atomic,H,4.5,"Happy,Relaxed,Talkative,Creative,Euphoric",Earthy
140,Atomic-Goat,H,4.8,"Relaxed,Uplifted,Giggly,Tingly,Happy","Spicy/Herbal,Nutty,Sage"
141,Atomic-Northern-Lights,H,4.2,"Talkative,Uplifted,Hungry,Tingly,Focused","Earthy,Pungent,Flowery"
142,Atomical-Haze,S,4.4,"Happy,Relaxed,Energetic,Uplifted,Creative","Pungent,Minty,Citrus"
143,Aurora-Borealis,I,4.2,"Happy,Euphoric,Relaxed,Sleepy,Hungry","Earthy,Woody,Sweet"
144,Aurora-I,I,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Spicy/Herbal,Tropical"
145,Avalon,H,3.6,"Aroused,Tingly,Hungry,Uplifted,Giggly","Sweet,Earthy,Nutty"
146,Avi,H,3,"Relaxed,Focused,Uplifted,Creative,Happy","Earthy,Pungent"
147,Avi-Dekel,H,4.5,"Relaxed,Uplifted,Happy,Focused,Energetic","Earthy,Flowery,Sweet"
148,Ayahuasca-Purple,I,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Spicy/Herbal,Pungent,Earthy"
149,Azure-Haze,H,4.4,"Relaxed,Uplifted,Focused,Euphoric,Happy","Berry,Sweet,Blueberry"
150,B-52,I,4.1,"Relaxed,Happy,Giggly,Focused,Uplifted","Sweet,Woody,Earthy"
151,B-Witched,H,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus"
152,B-Witched,H,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus"
153,Bb-King,I,3.8,"Sleepy,Happy,Relaxed,Uplifted,Creative","Lemon,Earthy,Citrus"
154,B4,H,4.5,"Happy,Uplifted,Euphoric,Focused,Relaxed","Spicy/Herbal,Berry,Skunk"
155,Bc-Big-Bud,H,4.5,"Relaxed,Euphoric,Happy,Creative,Sleepy","Earthy,Pungent,Tropical"
156,Bc-Roadkill,H,4.5,"Euphoric,Uplifted,Happy,Giggly,Relaxed","Skunk,Earthy,Woody"
157,Bc-Sweet-Tooth,I,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric","Sweet,Honey,Tree,Fruit"
159,Bog-Bubble,H,4.4,"Uplifted,Happy,Relaxed,Creative,Hungry","Flowery,Berry,Earthy"
160,Bsc,H,4.5,"Relaxed,Happy,Hungry,Euphoric,Giggly","Earthy,Pungent,Sweet"
162,Bakerstreet,I,3.7,"Euphoric,Relaxed,Giggly,Happy,Sleepy","Earthy,Diesel,Sweet"
163,Balmoral,H,4.2,"Relaxed,Happy,Uplifted,Focused,Talkative","Earthy,Cheese,Pine"
164,Banana-Candy,I,4.2,"Relaxed,Euphoric,Uplifted,Creative,Happy","Tree,Fruit,Earthy,Sweet"
165,Banana-Cream-Og,H,4.8,"Relaxed,Creative,Tingly,Uplifted,Focused","Minty,Mint,Pine"
166,Banana-Diesel,H,4.4,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Diesel,Earthy,Skunk"
167,Banana-Kush,H,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Tropical,Tree,Fruit"
168,Banana-Og,H,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Tropical,Earthy,Sweet"
169,Banana-Peel,H,4.7,"Relaxed,Euphoric,Uplifted,Happy,Sleepy","Spicy/Herbal,Tropical,Earthy"
170,Bananas,H,4.5,"Relaxed,Energetic,Happy,Uplifted,Focused","Tropical,Grape,Vanilla"
171,Bandana,H,4.2,"Euphoric,Happy,Relaxed,Talkative,Creative","Earthy,Pungent,Woody"
172,Bangi-Haze,S,0,"Aroused,Uplifted,Euphoric,Hungry","Berry,Tree,Fruit,Cheese"
173,Bango,H,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused","Lime,Earthy,Pungent"
174,Barbara-Bud,I,3.6,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Citrus,Earthy,Mango"
176,Batman-Og,I,4.4,"Sleepy,Hungry,Happy,Relaxed,Giggly","Skunk,Pungent,Sweet"
177,Bay-11,S,4.5,"Happy,Relaxed,Uplifted,Energetic,Creative","Sweet,Earthy,Citrus"
178,Bay-Dream,S,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Earthy,Sweet"
179,Bear-Dance,H,4.8,"Uplifted,Euphoric,Giggly,Happy,Energetic","Earthy,Minty,Sweet"
180,Beast-Mode-20,I,4.5,"Relaxed,Sleepy,Tingly,Happy,Euphoric","Earthy,Woody,Berry"
181,Beast-Mode-Og,H,4.4,"Relaxed,Euphoric,Uplifted,Talkative,Happy","Pine,Apricot,Earthy"
182,Bedford-Glue,H,5,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Pepper,Pine,Sage"
183,Bedica,I,4.3,"Relaxed,Sleepy,Hungry,Focused,Euphoric","Pungent,Cheese,Woody"
184,Bediol,S,4.7,"Relaxed,Talkative,Happy,Focused,Uplifted","Mango,Citrus,Lemon"
185,Bell-Ringer,I,5,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Citrus,Pungent"
186,Belladonna,H,4,"Happy,Sleepy,Giggly,Euphoric,Uplifted","Peach,Earthy,Butter"
187,Berkeley,S,4.3,"Talkative,Happy,Uplifted,Energetic,Focused","Citrus,Sweet,Pungent"
189,Berry-Bomb,H,4.2,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Berry,Blueberry,Flowery"
190,Berry-Larry,H,4.8,"Relaxed,Uplifted,Creative,Euphoric,Talkative","Berry,Citrus,Orange"
191,Berry-Noir,I,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Berry,Earthy,Sweet"
192,Berry-Og,H,4.3,"Happy,Relaxed,Uplifted,Euphoric,Sleepy","Berry,Blueberry,Earthy"
193,Berry-White,I,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Blueberry"
195,Bertberry-Cheesecake,S,5,"Uplifted,Creative,Euphoric,Focused,Energetic","Cheese,Berry,Tree,Fruit"
196,Bettie-Page,H,4.2,"Creative,Uplifted,Energetic,Euphoric,Relaxed","Earthy,Sweet,Blue,Cheese"
197,Bianca,H,4.2,"Relaxed,Sleepy,Euphoric,Focused,Creative","Earthy,Woody,Spicy/Herbal"
198,Biddy-Early,H,4.2,"Creative,Euphoric,Focused,Uplifted,Energetic","Sweet,Flowery,Diesel"
199,Big-Band,H,4.6,"Relaxed,Happy,Euphoric,Hungry,Talkative","Sweet,Spicy/Herbal,Sage"
200,Big-Bang,I,4.1,"Relaxed,Sleepy,Happy,Euphoric,Aroused","Sweet,Orange,Lemon"
201,Big-Bud,I,3.9,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Earthy,Skunk,Flowery"
202,Big-Budda-Cheese,H,4.2,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Cheese,Earthy,Flowery"
203,Big-Holy-Nina,H,4,"Talkative,Uplifted,Euphoric,Happy,Relaxed","Lime,Lemon,Earthy"
204,Big-Kush,H,4.7,"Uplifted,Relaxed,Euphoric,Creative,Focused","Citrus,Lemon,Skunk"
205,Big-Mac,I,5,"Relaxed,Aroused,Sleepy,Talkative,Tingly","Sweet,Berry,Blueberry"
206,Big-Skunk-Korean,H,4,"Talkative,Uplifted,Creative,Energetic,Hungry","Flowery,Skunk"
207,Big-Sky-Og,H,4.7,"Relaxed,Tingly,Uplifted,Hungry,Sleepy","Pungent,Skunk,Diesel"
208,Big-Smooth,H,5,"Happy,Relaxed,Giggly,Uplifted,Aroused","Blueberry,Spicy/Herbal,Nutty"
209,Big-Sur-Holy-Bud,S,4,"Relaxed,Uplifted,Focused,Euphoric,Energetic","Earthy,Menthol,Pine"
210,Big-White,I,4.2,"Relaxed,Uplifted,Happy,Sleepy,Euphoric","Flowery,Diesel,Sweet"
211,Big-Wreck,I,4.1,"Relaxed,Tingly,Euphoric,Happy,Uplifted","Earthy,Pungent,Nutty"
212,Biker-Leblanc,H,4.5,"Relaxed,Focused,Energetic,Euphoric,Aroused","Spicy/Herbal,Sage,Earthy"
213,Bio-Diesel,H,4.4,"Euphoric,Happy,Relaxed,Energetic,Uplifted","Diesel,Earthy,Pungent"
214,Bio-Jesus,H,4.6,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Chemical,Diesel"
215,Biochem,I,4.4,"Relaxed,Euphoric,Tingly,Sleepy,Happy","Spicy/Herbal,Earthy,Cheese"
216,Birds-Eye,S,5,"Happy,Uplifted,Energetic,Euphoric,Relaxed",
217,Birthday-Cake-Kush,H,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Vanilla,Lemon"
218,Black-84,I,4.5,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Pungent,Earthy,Grape"
219,Black-Afghan,I,4.6,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Earthy,Pine,Pepper"
220,Black-Betty,H,4.5,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Sweet,Berry,Pungent"
221,Black-Bubba,I,4.5,"Happy,Relaxed,Sleepy,Tingly,Euphoric","Earthy,Flowery,Pine"
222,Black-Cherry-Cheesecake,H,4.5,"Creative,Relaxed,Euphoric,Hungry,Uplifted","Berry,Sweet,Cheese"
223,Black-Cherry-Og,I,4.4,"Relaxed,Uplifted,Happy,Giggly,Euphoric","Berry,Sweet,Earthy"
224,Black-Cherry-Pie,H,5,"Relaxed,Uplifted,Creative,Euphoric,Happy","Earthy,Berry,Sweet"
225,Black-Cherry-Soda,H,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Sweet,Berry,Earthy"
226,Black-Dhalia,H,4,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Sweet,Earthy,Spicy/Herbal"
227,Black-Diamond,I,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Woody,Berry"
228,Black-Diesel,S,4.1,"Relaxed,Happy,Hungry,Talkative,Euphoric","Diesel,Pungent,Earthy"
229,Black-Domina,I,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Pepper,Pine,Woody"
230,Black-Haze,H,4.4,"Relaxed,Euphoric,Happy,Uplifted,Focused","Earthy,Pine,Flowery"
231,Black-Ice,I,4.1,"Relaxed,Sleepy,Happy,Hungry,Tingly","Earthy,Citrus,Sweet"
232,Black-Jack,H,4.4,"Relaxed,Happy,Euphoric,Uplifted,Talkative","Earthy,Sweet,Pine"
233,Black-Label-Kush,I,4.1,"Euphoric,Relaxed,Sleepy,Uplifted,Focused","Woody,Berry,Earthy"
235,Black-Lime-Special-Reserve,I,4.5,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Lime,Pepper,Citrus"
236,Black-Magic,H,4,"Happy,Relaxed,Uplifted,Euphoric",Earthy
237,Black-Magic-Kush,I,4.2,"Happy,Relaxed,Sleepy,Hungry,Talkative","Earthy,Berry,Woody"
238,Black-Mamba,I,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Grape,Woody"
240,Black-Russian,I,4.3,"Relaxed,Sleepy,Uplifted,Happy,Hungry","Citrus,Berry,Earthy"
241,Black-Tuna,H,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Woody,Skunk"
242,Black-Velvet,H,3.9,"Sleepy,Happy,Hungry,Relaxed,Euphoric","Sweet,Flowery,Citrus"
243,Black-Widow,H,4.1,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Sweet,Pungent"
244,Blackberry,H,4.2,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Earthy"
245,Blackberry-Bubble,I,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Berry,Blueberry,Skunk"
246,Blackberry-Chem-Og,H,4.3,"Talkative,Creative,Focused,Relaxed,Euphoric","Berry,Chemical"
247,Blackberry-Cream,I,4.8,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Berry,Sweet,Vanilla"
248,Blackberry-Diesel,S,4.1,"Happy,Energetic,Relaxed,Euphoric,Talkative","Diesel,Spicy/Herbal,Pungent"
249,Blackberry-Dream,H,4.2,"Happy,Energetic,Uplifted,Relaxed,Talkative","Spicy/Herbal,Sweet,Grapefruit"
250,Blackberry-Fire,H,5,"Creative,Happy","Sweet,Berry,Blueberry"
251,Blackberry-Hashplant,I,3.7,"Euphoric,Sleepy,Uplifted,Energetic,Happy","Berry,Sweet,Earthy"
